Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port
2026-05-26 22:10:10,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:10,192.168.1.11,104.208.16.91,TCP,55211,443
2026-05-26 22:10:10,192.168.1.11,104.208.16.91,TCP,55211,443
2026-05-26 22:10:10,192.168.1.11,104.208.16.91,TCP,55211,443
2026-05-26 22:10:10,192.168.1.1,239.255.255.250,Other,N/A,N/A
2026-05-26 22:10:10,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:10,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:10,104.208.16.91,192.168.1.11,TCP,443,55211
2026-05-26 22:10:10,104.208.16.91,192.168.1.11,TCP,443,55211
2026-05-26 22:10:10,192.168.1.11,104.208.16.91,TCP,55211,443
2026-05-26 22:10:10,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:10:10,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:10:11,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:10:11,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:10:12,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:12,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:12,192.168.1.11,224.0.0.252,UDP,54226,5355
2026-05-26 22:10:13,192.168.1.11,224.0.0.252,UDP,54226,5355
2026-05-26 22:10:13,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:13,192.168.1.1,239.255.255.250,Other,N/A,N/A
2026-05-26 22:10:13,192.168.1.2,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:13,192.168.1.11,224.0.0.22,Other,N/A,N/A
2026-05-26 22:10:41,192.168.1.11,13.89.179.11,TCP,58656,443
2026-05-26 22:10:41,192.168.1.11,13.89.179.11,TCP,58656,443
2026-05-26 22:10:41,192.168.1.11,13.89.179.11,TCP,58656,443
2026-05-26 22:10:41,192.168.1.11,13.89.179.11,TCP,58656,443
2026-05-26 22:10:41,192.168.1.11,13.89.179.11,TCP,58656,443
2026-05-26 22:10:41,192.168.1.11,13.89.179.11,TCP,58656,443
2026-05-26 22:10:41,192.168.1.11,13.89.179.11,TCP,58656,443
2026-05-26 22:10:41,192.168.1.11,13.89.179.11,TCP,58656,443
2026-05-26 22:10:41,192.168.1.11,57.144.57.32,TCP,58079,443
2026-05-26 22:10:41,57.144.57.32,192.168.1.11,TCP,443,58079
2026-05-26 22:10:42,57.144.57.32,192.168.1.11,TCP,443,58079
